osmid,y,x,street_count,highway,ref,junction,railway,geometry
30617385,41.4063422,2.1564951,4,,,,,POINT (2.1564951 41.4063422)
30617389,41.4091313,2.159576,4,,,,,POINT (2.159576 41.4091313)
30617390,41.41038,2.1620203,3,,,,,POINT (2.1620203 41.41038)
30617409,41.4096274,2.1590879,4,,,,,POINT (2.1590879 41.4096274)
30617411,41.4080842,2.1583405,3,,,,,POINT (2.1583405 41.4080842)
30617419,41.399193,2.1512328,4,,,,,POINT (2.1512328 41.399193)
30617420,41.4089124,2.1597675,3,,,,,POINT (2.1597675 41.4089124)
30617540,41.4047697,2.1383676,3,,,,,POINT (2.1383676 41.4047697)
30617541,41.4029193,2.1367576,4,,,,,POINT (2.1367576 41.4029193)
30617542,41.4024661,2.1363564,4,,,,,POINT (2.1363564 41.4024661)
30617551,41.4029865,2.135736,4,,,,,POINT (2.135736 41.4029865)
30617552,41.4034576,2.136169,4,,,,,POINT (2.136169 41.4034576)
30617554,41.4051315,2.1376555,3,,,,,POINT (2.1376555 41.4051315)
30617577,41.4045456,2.1349583,4,,,,,POINT (2.1349583 41.4045456)
30617578,41.4023505,2.1373781,3,,,,,POINT (2.1373781 41.4023505)
30617580,41.4011085,2.1387902,4,,,,,POINT (2.1387902 41.4011085)
30617583,41.400655,2.136046,3,,,,,POINT (2.136046 41.400655)
30617584,41.399269,2.1360636,4,,,,,POINT (2.1360636 41.399269)
30617585,41.3985783,2.1360742,4,,,,,POINT (2.1360742 41.3985783)
30617598,41.4041384,2.1344754,4,,,,,POINT (2.1344754 41.4041384)
30617599,41.405795,2.1364056,3,,,,,POINT (2.1364056 41.405795)
30617602,41.4140506,2.1447197,3,,,,,POINT (2.1447197 41.4140506)
30617606,41.4151666,2.1465774,3,,,,,POINT (2.1465774 41.4151666)
30617607,41.4154205,2.1470252,3,,,,,POINT (2.1470252 41.4154205)
30617608,41.4159215,2.1478119,3,,,,,POINT (2.1478119 41.4159215)
30617611,41.416888,2.1483089,3,,,,,POINT (2.1483089 41.416888)
30617612,41.4167656,2.1486972,3,,,,,POINT (2.1486972 41.4167656)
30617617,41.4180164,2.1484664,4,,,,,POINT (2.1484664 41.4180164)
30617622,41.4196555,2.1498525,3,,,,,POINT (2.1498525 41.4196555)
30617626,41.4194618,2.151408,3,,,,,POINT (2.151408 41.4194618)
30617631,41.4241996,2.1505984,3,,,,,POINT (2.1505984 41.4241996)
30617632,41.4240284,2.1512198,4,,,,,POINT (2.1512198 41.4240284)
30617633,41.4239155,2.1515658,3,,,,,POINT (2.1515658 41.4239155)
30617636,41.4231856,2.1524251,4,,,,,POINT (2.1524251 41.4231856)
30617695,41.4291741,2.1592382,3,,,,,POINT (2.1592382 41.4291741)
30617697,41.4281689,2.1595125,3,,,,,POINT (2.1595125 41.4281689)
30617700,41.4328651,2.1618012,3,,,,,POINT (2.1618012 41.4328651)
30617701,41.4313118,2.1609766,3,,,,,POINT (2.1609766 41.4313118)
30617712,41.4322559,2.1592031,3,,,,,POINT (2.1592031 41.4322559)
30617717,41.4314375,2.1629461,3,,,,,POINT (2.1629461 41.4314375)
30617733,41.4358683,2.1643323,1,,,,,POINT (2.1643323 41.4358683)
30617734,41.4356982,2.1650348,3,,,,,POINT (2.1650348 41.4356982)
30617737,41.4352917,2.1668005,4,,,,,POINT (2.1668005 41.4352917)
30617738,41.435159,2.1672669,4,,,,,POINT (2.1672669 41.435159)
30617760,41.4350005,2.1679154,3,,,,,POINT (2.1679154 41.4350005)
30617761,41.4358481,2.1658981,3,,,,,POINT (2.1658981 41.4358481)
30617762,41.4355224,2.1657607,4,,,,,POINT (2.1657607 41.4355224)
30617765,41.4347683,2.1654481,3,,,,,POINT (2.1654481 41.4347683)
30617766,41.4345348,2.1653511,3,,,,,POINT (2.1653511 41.4345348)
30617785,41.4259971,2.1529223,3,,,,,POINT (2.1529223 41.4259971)
30617786,41.4267447,2.1538887,3,,,,,POINT (2.1538887 41.4267447)
30617787,41.4272707,2.1546141,4,,,,,POINT (2.1546141 41.4272707)
30617789,41.4277757,2.1562552,3,,,,,POINT (2.1562552 41.4277757)
30617794,41.4244006,2.1546824,3,,,,,POINT (2.1546824 41.4244006)
30617795,41.4246908,2.1554182,4,,,,,POINT (2.1554182 41.4246908)
30617796,41.4250079,2.156062,3,,,,,POINT (2.156062 41.4250079)
30617800,41.4377301,2.1741074,3,,,,,POINT (2.1741074 41.4377301)
30617801,41.4372581,2.1753899,3,,,,,POINT (2.1753899 41.4372581)
30617804,41.4393055,2.1589706,3,,,,,POINT (2.1589706 41.4393055)
30617805,41.4386936,2.1595912,4,,,,,POINT (2.1595912 41.4386936)
30617807,41.4373462,2.1619119,4,,,,,POINT (2.1619119 41.4373462)
30617811,41.4355797,2.1669373,3,,,,,POINT (2.1669373 41.4355797)
30617812,41.4354507,2.1673978,3,,,,,POINT (2.1673978 41.4354507)
30617813,41.4352812,2.1680487,3,,,,,POINT (2.1680487 41.4352812)
30617814,41.435098,2.1687521,3,,,,,POINT (2.1687521 41.435098)
30617833,41.4362704,2.1727444,3,,,,,POINT (2.1727444 41.4362704)
30617835,41.4371332,2.1735642,3,,,,,POINT (2.1735642 41.4371332)
30617836,41.4372605,2.1736917,3,,,,,POINT (2.1736917 41.4372605)
30617900,41.4352186,2.1760768,3,,,,,POINT (2.1760768 41.4352186)
30617904,41.4314945,2.1764271,3,,,,,POINT (2.1764271 41.4314945)
30617907,41.4295248,2.1763499,1,,,,,POINT (2.1763499 41.4295248)
30617909,41.4311536,2.1743831,3,,,,,POINT (2.1743831 41.4311536)
30617918,41.4314321,2.1808311,4,,,,,POINT (2.1808311 41.4314321)
30617932,41.4294252,2.1817394,3,,,,,POINT (2.1817394 41.4294252)
30617933,41.4286632,2.1817156,4,,,,,POINT (2.1817156 41.4286632)
30617934,41.4277436,2.1816873,3,,,,,POINT (2.1816873 41.4277436)
30618051,41.4377801,2.175793,4,,,,,POINT (2.175793 41.4377801)
30618052,41.4373987,2.1766166,3,,,,,POINT (2.1766166 41.4373987)
30618053,41.4340551,2.1728753,3,crossing,,,,POINT (2.1728753 41.4340551)
30618054,41.4346339,2.1733231,4,,,,,POINT (2.1733231 41.4346339)
30618055,41.4351238,2.1737076,3,,,,,POINT (2.1737076 41.4351238)
30618056,41.4356393,2.1741126,4,,,,,POINT (2.1741126 41.4356393)
30618057,41.4361731,2.1745411,3,,,,,POINT (2.1745411 41.4361731)
30618058,41.4367208,2.1749584,3,,,,,POINT (2.1749584 41.4367208)
30618062,41.4290573,2.188924,3,,,,,POINT (2.188924 41.4290573)
30618063,41.4291332,2.1895443,3,,,,,POINT (2.1895443 41.4291332)
30618070,41.4322327,2.1887304,4,,,,,POINT (2.1887304 41.4322327)
30618071,41.4318499,2.1887661,4,,,,,POINT (2.1887661 41.4318499)
30618073,41.4314999,2.1887857,3,,,,,POINT (2.1887857 41.4314999)
30618075,41.4287715,2.1897345,4,,,,,POINT (2.1897345 41.4287715)
30618076,41.4277553,2.1902185,3,,,,,POINT (2.1902185 41.4277553)
30618077,41.4286096,2.1876092,3,,,,,POINT (2.1876092 41.4286096)
30618078,41.4286218,2.1883735,3,,,,,POINT (2.1883735 41.4286218)
30618089,41.4287,2.1890676,3,,,,,POINT (2.1890676 41.4287)
30618092,41.4288399,2.1903566,4,,,,,POINT (2.1903566 41.4288399)
30618094,41.4303345,2.1928286,3,,,,,POINT (2.1928286 41.4303345)
30618095,41.4304591,2.1937215,4,,,,,POINT (2.1937215 41.4304591)
30618096,41.4306901,2.1949477,3,,,,,POINT (2.1949477 41.4306901)
30618097,41.4375153,2.1950631,3,,,,,POINT (2.1950631 41.4375153)
30618100,41.4371432,2.1964988,3,,,,,POINT (2.1964988 41.4371432)
30618112,41.4390481,2.2003551,4,,,,,POINT (2.2003551 41.4390481)
30618113,41.4387792,2.1997258,3,,,,,POINT (2.1997258 41.4387792)
30625851,41.3732153,2.1441507,3,,,,,POINT (2.1441507 41.3732153)
30625895,41.375285,2.1415127,3,,,,,POINT (2.1415127 41.375285)
30625896,41.3745673,2.1414981,4,,,,,POINT (2.1414981 41.3745673)
30625897,41.3738043,2.1414724,4,,,,,POINT (2.1414724 41.3738043)
30625899,41.3730193,2.1414531,3,,,,,POINT (2.1414531 41.3730193)
30625911,41.3745336,2.1380367,4,,,,,POINT (2.1380367 41.3745336)
30646179,41.3802856,2.1781568,3,,,,,POINT (2.1781568 41.3802856)
30646198,41.3820383,2.1789877,3,,,,,POINT (2.1789877 41.3820383)
30646806,41.3784944,2.1781285,3,,,,,POINT (2.1781285 41.3784944)
30647222,41.3812709,2.1764174,3,,,,,POINT (2.1764174 41.3812709)
30647257,41.3820639,2.181221,3,,,,,POINT (2.181221 41.3820639)
30647463,41.3905049,2.1784705,3,,,,,POINT (2.1784705 41.3905049)
30647878,41.3793161,2.1668313,1,,,,,POINT (2.1668313 41.3793161)
30647904,41.3782455,2.1682461,4,,,,,POINT (2.1682461 41.3782455)
30647906,41.3775009,2.1692897,3,,,,,POINT (2.1692897 41.3775009)
30647907,41.3770538,2.1699413,3,,,,,POINT (2.1699413 41.3770538)
30647925,41.3751882,2.1728978,3,,,,,POINT (2.1728978 41.3751882)
30685337,41.3853008,2.1543898,3,,,,,POINT (2.1543898 41.3853008)
30685338,41.3821292,2.1585938,4,,,,,POINT (2.1585938 41.3821292)
30685340,41.385645,2.153948,4,,,,,POINT (2.153948 41.385645)
30685341,41.3907404,2.1471262,4,,,,,POINT (2.1471262 41.3907404)
30686171,41.3711478,2.1373343,3,,,,,POINT (2.1373343 41.3711478)
30686179,41.3745246,2.1352629,3,,,,,POINT (2.1352629 41.3745246)
30686192,41.3738704,2.1364099,3,,,,,POINT (2.1364099 41.3738704)
30686200,41.3713503,2.1361193,4,,,,,POINT (2.1361193 41.3713503)
30686201,41.3716744,2.1371114,4,,,,,POINT (2.1371114 41.3716744)
30686209,41.3748486,2.1399779,4,,,,,POINT (2.1399779 41.3748486)
30686210,41.3742397,2.1401312,4,,,,,POINT (2.1401312 41.3742397)
30686211,41.3732072,2.1404113,3,,,,,POINT (2.1404113 41.3732072)
30686214,41.3721115,2.1414061,3,,,,,POINT (2.1414061 41.3721115)
30686337,41.3699982,2.1378097,3,,,,,POINT (2.1378097 41.3699982)
30686338,41.3707646,2.1393316,3,,,,,POINT (2.1393316 41.3707646)
30686342,41.3717545,2.1408524,3,,,,,POINT (2.1408524 41.3717545)
30686353,41.3752131,2.1451293,3,,,,,POINT (2.1451293 41.3752131)
30686354,41.3744919,2.1454456,3,,,,,POINT (2.1454456 41.3744919)
30686355,41.3740958,2.1456194,4,,,,,POINT (2.1456194 41.3740958)
30686356,41.3736379,2.1458202,4,,,,,POINT (2.1458202 41.3736379)
30686357,41.3726831,2.1462316,4,,,,,POINT (2.1462316 41.3726831)
30688819,41.415786,2.1600762,3,,,,,POINT (2.1600762 41.415786)
30688824,41.4166879,2.1628535,5,,,,,POINT (2.1628535 41.4166879)
30688829,41.4172801,2.1627924,3,,,,,POINT (2.1627924 41.4172801)
30688836,41.4162713,2.1642531,3,,,,,POINT (2.1642531 41.4162713)
30688837,41.4171462,2.162438,3,,,,,POINT (2.162438 41.4171462)
30688839,41.4153733,2.164513,3,,,,,POINT (2.164513 41.4153733)
30688879,41.4135782,2.1612419,3,,,,,POINT (2.1612419 41.4135782)
30688880,41.4137347,2.1614628,3,,,,,POINT (2.1614628 41.4137347)
30688883,41.4143103,2.1629271,4,,,,,POINT (2.1629271 41.4143103)
30688888,41.4146462,2.1642613,4,traffic_signals,,,,POINT (2.1642613 41.4146462)
30688904,41.4155207,2.1633361,5,,,,,POINT (2.1633361 41.4155207)
30688906,41.4141156,2.1647989,3,,,,,POINT (2.1647989 41.4141156)
30689037,41.4140961,2.1611635,3,,,,,POINT (2.1611635 41.4140961)
30689040,41.41497,2.1625113,3,,,,,POINT (2.1625113 41.41497)
30689042,41.4149307,2.1609387,3,,,,,POINT (2.1609387 41.4149307)
30689056,41.4177074,2.1695648,4,,,,,POINT (2.1695648 41.4177074)
30689057,41.4170436,2.169118,1,,,,,POINT (2.169118 41.4170436)
30689058,41.4220311,2.1702201,3,,,,,POINT (2.1702201 41.4220311)
30689094,41.4295057,2.1720106,3,crossing,,,,POINT (2.1720106 41.4295057)
30689095,41.4287704,2.1720983,4,,,,,POINT (2.1720983 41.4287704)
30689096,41.4278096,2.1722081,4,,,,,POINT (2.1722081 41.4278096)
30689098,41.4265172,2.172363,4,,,yes,,POINT (2.172363 41.4265172)
30689100,41.4257616,2.1724462,4,,,,,POINT (2.1724462 41.4257616)
30689101,41.4244011,2.1725961,3,,,,,POINT (2.1725961 41.4244011)
30689104,41.4218954,2.172896,3,,,,,POINT (2.172896 41.4218954)
30689117,41.4200351,2.175119,4,,,,,POINT (2.175119 41.4200351)
