u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,junction,ref,width,est_width,tunnel,bridge
26057304,3218700096,0,"[295215809, 68506253]",secondary,4,"['50', '30']",Ronda de la Universitat,True,False,150.49194718350174,"LINESTRING (2.1663094 41.3865457, 2.1661146 41.3864774, 2.1655332 41.3862634, 2.1653533 41.3861948, 2.1650749 41.3860917, 2.1649902 41.3860593, 2.1649338 41.3860389, 2.1648111 41.3859925, 2.1646966 41.3859404)",,,,"['14', '11']",,,
26057304,8201874133,0,68506265,secondary,3,50,Carrer de Balmes,True,False,104.01341100050632,"LINESTRING (2.1663094 41.3865457, 2.1664782 41.3864261, 2.1668644 41.3861384, 2.1670229 41.3860243, 2.1671686 41.3859239, 2.1672091 41.3858984)",,,,,,,
26057312,269369082,0,304693491,tertiary,4,50,Passeig de Gràcia,True,False,12.050669690095646,"LINESTRING (2.16837 41.389593, 2.1682792 41.3896491, 2.1682542 41.3896564)",,,,8,,,
26057312,3229689808,0,545718428,primary,2,50,Gran Via de les Corts Catalanes,True,False,15.586844543245022,"LINESTRING (2.16837 41.389593, 2.1685077 41.3896272, 2.1685474 41.389637)",,,C-31,14,,,
26057341,26057131,0,"[248565672, 1104543532]",secondary,3,50,Ronda de Sant Pere,True,False,125.10893787574015,"LINESTRING (2.1736834 41.3893208, 2.173529 41.3892537, 2.1733696 41.3891945, 2.1728274 41.3889916, 2.1727338 41.3889545, 2.1726746 41.3889329, 2.1726681 41.3889307, 2.1726361 41.3889187, 2.1724132 41.3888374, 2.1723496 41.3888075)",,,,,,,
26057341,30242757,0,"[34608163, 584532229]",secondary,4,50,Plaça d'Urquinaona,True,False,47.285872569234314,"LINESTRING (2.1736834 41.3893208, 2.1736261 41.3894536, 2.1736195 41.3894645, 2.1735878 41.3894979, 2.1734065 41.3896867)",,,,,,,
26057342,26057345,0,237910182,residential,2,30,Carrer del Bruc,True,False,109.01835570752257,"LINESTRING (2.1753258 41.3899292, 2.1753794 41.3898834, 2.1753989 41.3898688, 2.1754361 41.3898393, 2.1757693 41.3895897, 2.1760078 41.3894078, 2.1760282 41.3893913, 2.1762337 41.3892243)",,,,,,,
26057342,26057341,0,"[1435726369, 1408672894, 546133684, 511211614]",secondary,3,50,Ronda de Sant Pere,True,False,152.81977950571635,"LINESTRING (2.1753258 41.3899292, 2.1750263 41.3898107, 2.1746602 41.3896786, 2.174495 41.3896174, 2.1742303 41.3895221, 2.1740118 41.3894432, 2.1739949 41.3894375, 2.1739462 41.3894189, 2.1736834 41.3893208)",,,,,,,
26057345,533662625,0,"[546184105, 237566135]",secondary,3,50,Carrer de Trafalgar,True,False,137.02474409702015,"LINESTRING (2.1762337 41.3892243, 2.1764867 41.389417, 2.176903 41.389722, 2.1769405 41.3897513, 2.1772217 41.3899686, 2.1772564 41.3899932, 2.1773652 41.3900703, 2.1773975 41.3900937)",,,,,,,
26057346,26057345,0,546184105,secondary,3,50,Carrer de Trafalgar,True,False,41.474051102637006,"LINESTRING (2.1758863 41.3889575, 2.1760227 41.3890608, 2.1760538 41.3890847, 2.1761528 41.3891609, 2.1762337 41.3892243)",,,,,,,
26057347,26057346,0,"[237566144, 1206381001, 1213857011, 20044319]","['living_street', 'residential']",,"['30', '10']","[""Carrer d'Ortigosa"", 'Carrer de les Jonqueres']",True,False,329.7118009937593,"LINESTRING (2.1737424 41.3889558, 2.1737657 41.3889033, 2.1737747 41.3888817, 2.1742953 41.3877983, 2.1743175 41.3877515, 2.1743632 41.3877848, 2.1743842 41.3878007, 2.1748607 41.3881685, 2.1748862 41.3881881, 2.175714 41.388806, 2.1757373 41.3888239, 2.1757606 41.3888416, 2.1758863 41.3889575)",,,,,,,
26057347,26057346,1,237725943,secondary,3,50,Carrer de Trafalgar,True,False,178.85117086290535,"LINESTRING (2.1737424 41.3889558, 2.1739023 41.3889554, 2.1756383 41.3889566, 2.1756722 41.3889572, 2.1758863 41.3889575)",,,,,,,
26057388,26057389,0,"[532696001, 545718433]",primary,5,50,Gran Via de les Corts Catalanes,True,False,132.5823867088689,"LINESTRING (2.1608564 41.3838266, 2.1610161 41.3839475, 2.161607 41.3844029, 2.1616377 41.3844258, 2.1617891 41.3845446, 2.1618194 41.3845684, 2.1619691 41.3846778)",,,C-31,12,,,
